ID;DEST_CRED;SEXO;CATEGORIA_NEG;EXPERIENCIA_NEGOCIO;ESTADO_CIVIL;EDAD; NIVEL_ENDEUDAMIENTO ;NUMERO_ENTIDADES;M_MAX;ING_BRUTO
966259617;Activo fijo;Hombre;Comercio;511;Casado;43; 44,16 ;cuatro;17; 5.368.000 
695401012;Crédito vehículo;Mujer;Comercio;89;Casado;59; 55,17 ;cuatro;1; 14.941.000 
772057266;Consumo;Mujer;Comercio;32;Casado;60; 42,39 ;tres;51; 7.636.000 
698301387;Activo fijo;Mujer;Comercio;564;Unión Libre;56; 22,26 ;tres;0; 6.150.000 
467695676;Activo fijo;Hombre;Comercio;133;Casado;51; 73,05 ;uno;20; 4.650.000 
476116092;Crédito vehículo;Mujer;Comercio;472;Casado;41; 25,53 ;dos;84; 6.796.000 
519374237;Capital de trabajo;Hombre;Comercio;166;Unión Libre;65; 59,33 ;tres;28; 4.807.000 
529029615;Consumo;Hombre;Comercio;79;Unión Libre;62; 1,26 ;tres;19; 12.401.000 
255217119;Crédito vehículo;Hombre;Servicios;289;Soltero;45; 26,25 ;uno;10; 9.130.000 
588540569;Consumo;Mujer;Comercio;616;Unión Libre;42; 12,44 ;cuatro;55; 10.566.000 
621917874;Consumo;Mujer;Servicios;588;Unión Libre;36; 98,68 ;uno;23; 10.694.000 
500254092;Consumo;Mujer;Comercio;306;Casado;49; 24,53 ;tres;15; 7.636.000 
356547802;Consumo;Hombre;Comercio;151;Casado;28; 78,97 ;dos;24; 7.120.000 
734040091;Consumo;Hombre;Producción;408;Soltero;44; 6,89 ;uno;207; 10.722.000 
293019098;Capital de trabajo;Hombre;Servicios;113;Divorciado;45; 23,48 ;cuatro;15; 9.948.000 
473653034;Consumo;Hombre;Comercio;449;Soltero;26; 59,77 ;tres;9; 4.430.000 
647280663;Consumo;Mujer;Comercio;178;Soltero;44; 74,07 ;tres;33; 9.644.000 
830069199;Capital de trabajo;Hombre;Comercio;113;Divorciado;47; 39,84 ;uno;8; 4.915.000 
728270437;Consumo;Hombre;Servicios;260;Soltero;59; 44,01 ;tres;2; 9.728.000 
320658950;Crédito vehículo;Mujer;Producción;221;Unión Libre;43; 69,57 ;uno;32; 10.545.000 
630282245;Consumo;Mujer;Informal;325;Casado;37; 34,63 ;dos;353; 10.667.000 
44318151;Consumo;Mujer;Comercio;379;Divorciado;48; 98,36 ;dos;10; 5.273.000 
202798054;Activo fijo;Hombre;Comercio;399;Unión Libre;62; 90,67 ;uno;26; 5.314.000 
947296430;Consumo;Hombre;Comercio;68;Casado;43; 50,00 ;cuatro;0; 6.150.000 
309957947;Crédito vehículo;Mujer;Servicios;512;Divorciado;52; 16,24 ;tres;320; 4.200.000 
791981038;Consumo;Mujer;Comercio;599;Casado;26; 29,84 ;cuatro;73; 3.619.000 
657616939;Capital de trabajo;Hombre;Comercio;172;Casado;55; 56,48 ;dos;30; 12.707.000 
46474115;Consumo;Mujer;Comercio;115;Unión Libre;48; 55,33 ;dos;31; 5.204.000 
754418593;Consumo;Mujer;Servicios;19;Unión Libre;21; 77,27 ;uno;30; 11.206.000 
898431473;Consumo;Hombre;Comercio;19;Unión Libre;31; 74,87 ;cinco o +;29; 5.442.000 
584187707;Consumo;Hombre;Servicios;99;Divorciado;51; 80,34 ;dos;56; 8.216.000 
274926404;Consumo;Mujer;Producción;213;Unión Libre;48; 76,68 ;uno;16; 5.793.000 
165961245;Capital de trabajo;Mujer;Comercio;319;Divorciado;51; 44,68 ;dos;10; 8.381.000 
625578769;Activo fijo;Mujer;Informal;108;Casado;36; 23,75 ;tres;258; 11.610.000 
797793996;Capital de trabajo;Hombre;Comercio;100;Divorciado;40; 84,84 ;tres;25; 5.776.000 
341175075;Consumo;Mujer;Comercio;404;Unión Libre;63; 62,65 ;cuatro;0; 8.284.000 
49412805;Capital de trabajo;Hombre;Producción;168;Casado;62; 32,32 ;tres;34; 7.219.000 
497535717;Consumo;Hombre;Comercio;13;Soltero;43; 8,97 ;uno;60; 12.268.000 
276332413;Consumo;Mujer;Informal;11;Soltero;44; 68,88 ;cuatro;126; 3.712.000 
835975658;Crédito vehículo;Hombre;Servicios;168;Unión Libre;30; 55,87 ;cuatro;15; 4.650.000 
960348934;Activo fijo;Mujer;Producción;333;Casado;49; 98,33 ;uno;20; 5.382.000 
455575353;Consumo;Mujer;Comercio;241;Soltero;57; 64,42 ;cuatro;2; 15.142.000 
147342742;Consumo;Hombre;Comercio;406;Casado;34; 36,18 ;tres;14; 4.650.000 
67375743;Activo fijo;Hombre;Servicios;143;Divorciado;21; 23,92 ;tres;12; 6.154.000 
714669988;Crédito vehículo;Mujer;Comercio;260;Divorciado;63; 44,19 ;cuatro;64; 4.732.000 
285261069;Consumo;Hombre;Comercio;427;Casado;42; 60,22 ;dos;9; 4.891.000 
630024500;Activo fijo;Hombre;Comercio;270;Soltero;48; 59,11 ;cinco o +;4; 5.391.000 
224371912;Activo fijo;Mujer;Comercio;494;Soltero;23; 88,28 ;dos;3; 6.878.000 
567346008;Activo fijo;Hombre;Comercio;129;Unión Libre;56; 25,49 ;cinco o +;6; 7.557.000 
773573368;Crédito vehículo;Mujer;Comercio;605;Unión Libre;43; 53,97 ;tres;86; 7.764.000 
422891131;Capital de trabajo;Hombre;Comercio;36;Divorciado;65; 80,14 ;tres;19; 11.740.000 
106508988;Consumo;Mujer;Servicios;168;Soltero;50; 76,53 ;cuatro;8; 11.028.000 
606353912;Consumo;Hombre;Servicios;169;Casado;26; 7,34 ;tres;18; 3.524.000 
679021741;Consumo;Mujer;Servicios;201;Divorciado;25; 71,80 ;dos;64; 8.477.000 
